Recorded Date/Time,ID,Sub ID,Job Name,Status,Owner,Logical Printer,Arrived,RIP Start Date/Time,RIP Elapsed Time,Rasterization Start Date/Time,Rasterization Elapsed Time,Printing Start Date/Time,Elapsed Printing Time,Printed,Color Mode,Paper Type,Media Name,Paper Tray,Paper Size,Paper Width,Paper Length,2 Sided,Copies,Input Pages,Printed Pages,Printed Color Pages,Printed Black & White Pages,Pages Printed with Specialty Toner,Pages Printed with GLD #1,Pages Printed with SLV #1,Pages Printed with CLR #1,Pages Printed with WHT #1,Pages Printed with CR #1,Pages Printed with P #1,Printed Blank Pages,Printed Sheets,Last Printed Page,Waste Sheets,Banner Sheet,Account,Error Info
4/4/2026 3:29:45 PM,1,,BIG 2 new.pdf,RIP Completed,Administrator,,4/4/2026 3:29:08 PM,4/4/2026 3:29:27 PM,0:00:18,,,,,,Full Color,,,,,0,0,None,1,32,0,0,0,0,0,0,0,0,0,0,0,0,,0,None,,
4/4/2026 3:30:23 PM,2,,Mahabaleshwar discount card.pdf,RIP Completed,Administrator,,4/4/2026 3:30:17 PM,4/4/2026 3:30:20 PM,0:00:03,,,,,,Full Color,,,,,0,0,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,None,,
4/4/2026 3:38:13 PM,2,,Mahabaleshwar discount card.pdf,Printing Completed,Administrator,,4/4/2026 3:30:17 PM,4/4/2026 3:34:51 PM,0:00:03,4/4/2026 3:34:54 PM,0:00:02,4/4/2026 3:37:44 PM,0:00:29,4/4/2026 3:38:13 PM,Full Color,"Custom,White,221 - 256gsm",,Tray 7,Custom(297.0 x 483.0 mm),297,483,None,1,2,2,1,1,0,0,0,0,0,0,0,0,2,,0,None,,
4/4/2026 3:40:15 PM,2,,Mahabaleshwar discount card.pdf,Printing Completed,Administrator,,4/4/2026 3:30:17 PM,4/4/2026 3:39:37 PM,0:00:04,4/4/2026 3:39:40 PM,0:00:02,4/4/2026 3:39:52 PM,0:00:23,4/4/2026 3:40:15 PM,Full Color,"Custom,White,221 - 256gsm",,Tray 7,Custom(297.0 x 483.0 mm),297,483,None,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,0,None,,
4/4/2026 4:02:22 PM,2,,Mahabaleshwar discount card.pdf,Error,Administrator,,4/4/2026 3:30:17 PM,,0:00:04,,0:00:02,,,,Full Color,,,,,0,0,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,None,,Tray 7 Not Installed Properly
4/4/2026 4:06:44 PM,2,,Mahabaleshwar discount card.pdf,Printing Completed,Administrator,,4/4/2026 3:30:17 PM,4/4/2026 3:39:37 PM,0:00:04,4/4/2026 4:05:19 PM,0:00:02,4/4/2026 4:06:22 PM,0:00:22,4/4/2026 4:06:44 PM,Full Color,"Custom,White,221 - 256gsm",,Tray 7,Custom(297.0 x 483.0 mm),297,483,None,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,0,None,,
4/4/2026 4:08:10 PM,2,,Mahabaleshwar discount card.pdf,Printing Completed,Administrator,,4/4/2026 3:30:17 PM,4/4/2026 4:07:33 PM,0:00:02,4/4/2026 4:07:35 PM,0:00:01,4/4/2026 4:07:44 PM,0:00:26,4/4/2026 4:08:10 PM,Full Color,"Custom,White,221 - 256gsm",,Tray 7,Custom(297.0 x 483.0 mm),297,483,None,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,0,None,,
4/4/2026 4:12:38 PM,2,,Mahabaleshwar discount card.pdf,Printing Completed,Administrator,,4/4/2026 3:30:17 PM,4/4/2026 4:11:14 PM,0:00:03,4/4/2026 4:11:17 PM,0:00:02,4/4/2026 4:12:11 PM,0:00:27,4/4/2026 4:12:38 PM,Full Color,"Custom,White,221 - 256gsm",,Tray 7,Custom(297.0 x 483.0 mm),297,483,None,1,2,2,1,1,0,0,0,0,0,0,0,0,2,,0,None,,
4/4/2026 4:33:00 PM,2,,Mahabaleshwar discount card.pdf,Held,Administrator,,4/4/2026 3:30:17 PM,4/4/2026 4:11:14 PM,0:00:03,4/4/2026 4:31:39 PM,0:00:03,4/4/2026 4:32:01 PM,0:00:59,4/4/2026 4:33:00 PM,Full Color,,,,Custom(297.0 x 483.0 mm),297,483,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,None,,
4/4/2026 4:36:07 PM,2,,Mahabaleshwar discount card.pdf,Printing Completed,Administrator,,4/4/2026 3:30:17 PM,4/4/2026 4:34:26 PM,0:00:03,4/4/2026 4:34:29 PM,0:00:02,4/4/2026 4:35:44 PM,0:00:23,4/4/2026 4:36:07 PM,Full Color,"Custom,White,221 - 256gsm",,Tray 6,Custom(297.0 x 483.0 mm),297,483,None,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,0,None,,
4/4/2026 4:36:52 PM,1,,BIG 2 new.pdf,Held,Administrator,,4/4/2026 3:29:08 PM,4/4/2026 3:29:27 PM,0:00:18,4/4/2026 4:36:06 PM,0:00:21,4/4/2026 4:36:17 PM,0:00:35,4/4/2026 4:36:52 PM,Full Color,"Custom,White,221 - 256gsm",,Tray 7,Custom(297.0 x 483.0 mm),297,483,None,1,32,7,7,0,0,0,0,0,0,0,0,0,7,7 Pages,0,None,,
4/4/2026 4:38:40 PM,2,,Mahabaleshwar discount card.pdf,Printing Completed,Administrator,,4/4/2026 3:30:17 PM,4/4/2026 4:37:36 PM,0:00:02,4/4/2026 4:37:38 PM,0:00:02,4/4/2026 4:38:12 PM,0:00:28,4/4/2026 4:38:40 PM,Full Color,"Custom,White,221 - 256gsm",,Tray 7,Custom(297.0 x 483.0 mm),297,483,None,1,2,2,1,1,0,0,0,0,0,0,0,0,2,,0,None,,
